date,bank_account,account_code,customer_id,amount,forecast,type
2018-02-19 00:00:00,244,Supplier payment,12455,-373.745,0,SPEND
2018-02-19 00:00:00,244,Miscellaneous,12489,271.04,0,RECEIVE
2018-02-19 00:00:00,244,Miscellaneous,12488,-14.8225,0,SPEND
2018-02-20 00:00:00,244,Supplier payment,11198,-1184.4409375,0,SPEND
2018-02-20 00:00:00,244,Supplier payment,11262,-500,0,SPEND
2018-02-21 00:00:00,244,Supplier payment,12449,1605.55,0,RECEIVE
2018-02-21 00:00:00,244,Salaries,12491,-12955.625,0,SPEND
2018-02-22 00:00:00,244,Customer payment,10567,332.2875,0,RECEIVE
2018-02-22 00:00:00,244,Customer payment,10591,50.82,0,RECEIVE
2018-02-22 00:00:00,244,Customer payment,10591,236.875,0,RECEIVE
2018-02-22 00:00:00,244,Miscellaneous,12494,15.795,0,RECEIVE
2018-02-23 00:00:00,244,Tax,12486,1084.3125,0,RECEIVE
2018-02-23 00:00:00,244,Supplier payment,11417,-4.955,0,SPEND
2018-02-23 00:00:00,244,Supplier payment,11293,-38.98,0,SPEND
2018-02-23 00:00:00,244,Supplier payment,11803,-282.1575,0,SPEND
2018-02-23 00:00:00,244,Supplier payment,11148,-107.0175,0,SPEND
2018-02-23 00:00:00,244,Supplier payment,11842,-94.0525,0,SPEND
2018-02-23 00:00:00,244,Supplier payment,11469,-132.9975,0,SPEND
2018-02-23 00:00:00,244,Supplier payment,12413,-26.9075,0,SPEND
2018-02-23 00:00:00,244,Supplier payment,11918,-31.7625,0,SPEND
2018-02-23 00:00:00,244,Supplier payment,11856,-4,0,SPEND
2018-02-23 00:00:00,244,Supplier payment,11798,-11.5,0,SPEND
2018-02-26 00:00:00,244,Miscellaneous,12485,-924.169375,0,SPEND
2018-02-26 00:00:00,244,Miscellaneous,12485,-469.1165625,0,SPEND
2018-02-26 00:00:00,244,Miscellaneous,12485,6304.205625,0,RECEIVE
2018-02-26 00:00:00,244,Tax,12492,-7592.28125,0,SPEND
2018-02-26 00:00:00,244,Supplier payment,12353,-3.875,0,SPEND
2018-02-27 00:00:00,244,Supplier payment,11916,-192.6675,0,SPEND
2018-02-27 00:00:00,244,Supplier payment,11293,-9.075,0,SPEND
2018-02-27 00:00:00,244,Supplier payment,11829,-20.8725,0,SPEND
2018-02-27 00:00:00,244,Supplier payment,11401,-132.09,0,SPEND
