date,bank_account,customer_id,account_code,type,amount,organisation,forecast
2018-02-27 00:00:00,244,11916,Supplier payment,SPEND,-192.6675,999,0
2018-02-27 00:00:00,244,11829,Supplier payment,SPEND,-20.8725,999,0
2018-02-27 00:00:00,244,12332,Supplier payment,SPEND,-9.075,999,0
2018-02-27 00:00:00,244,11540,Supplier payment,SPEND,-40,999,0
2018-02-27 00:00:00,244,12321,Supplier payment,SPEND,-122.7575,999,0
2018-02-27 00:00:00,244,12277,Supplier payment,SPEND,-306.5975,999,0
2018-02-27 00:00:00,244,11434,Supplier payment,SPEND,-39,999,0
2018-02-27 00:00:00,244,11262,Supplier payment,SPEND,-500,999,0
2018-02-27 00:00:00,244,11726,Supplier payment,SPEND,-66.0675,999,0
2018-02-27 00:00:00,244,11691,Supplier payment,SPEND,-185.5,999,0
2018-02-27 00:00:00,244,11632,Supplier payment,SPEND,-103.25,999,0
2018-02-27 00:00:00,244,11615,Supplier payment,SPEND,-38.5,999,0
2018-02-27 00:00:00,244,11842,Supplier payment,SPEND,-37.0025,999,0
2018-02-27 00:00:00,244,11917,Supplier payment,SPEND,-388.4875,999,0
2018-02-27 00:00:00,244,11898,Supplier payment,SPEND,-1190.6021875,999,0
2018-02-27 00:00:00,244,11417,Supplier payment,SPEND,-4.6,999,0
2018-02-27 00:00:00,244,11417,Supplier payment,SPEND,-6.0175,999,0
2018-02-27 00:00:00,244,11417,Supplier payment,SPEND,-109.38,999,0
2018-02-26 00:00:00,244,12353,Supplier payment,SPEND,-3.875,999,0
2018-02-28 00:00:00,244,11281,Supplier payment,SPEND,-1449.1325,999,0
2018-03-02 00:00:00,244,11329,Supplier payment,SPEND,-44.8305555555556,999,0
2018-03-02 00:00:00,244,11354,Supplier payment,SPEND,-107.538611111111,999,0
2018-03-02 00:00:00,244,11319,Supplier payment,SPEND,-198.026111111111,999,0
2018-03-02 00:00:00,244,10676,Customer payment,RECEIVE,16.7708333333333,999,0
2018-03-02 00:00:00,244,11484,Supplier payment,SPEND,-277.506388888889,999,0
2018-03-02 00:00:00,244,10587,Customer payment,RECEIVE,4.18472222222222,999,0
2018-03-05 00:00:00,244,12384,Supplier payment,SPEND,-7.77777777777778,999,0
2018-03-05 00:00:00,244,12421,Supplier payment,SPEND,-1.58777777777778,999,0
2018-03-05 00:00:00,244,10694,Customer payment,RECEIVE,224.070152777778,999,0
2018-03-05 00:00:00,244,10694,Customer payment,RECEIVE,55.1575138888889,999,0
2018-03-05 00:00:00,244,10704,Customer payment,RECEIVE,3.53720833333333,999,0
2018-03-05 00:00:00,244,10705,Customer payment,RECEIVE,6.83131944444444,999,0
2018-03-05 00:00:00,244,11417,Supplier payment,SPEND,-5.11222222222222,999,0
2018-03-05 00:00:00,244,11417,Supplier payment,SPEND,-3.14611111111111,999,0
2018-03-05 00:00:00,244,11423,Supplier payment,SPEND,-2.05027777777778,999,0
2018-03-06 00:00:00,244,10661,Customer payment,RECEIVE,321.041666666667,999,0
2018-03-07 00:00:00,244,11801,Supplier payment,SPEND,-7.20972222222222,999,0
2018-03-07 00:00:00,244,12397,Supplier payment,SPEND,-105.12,999,0
2018-03-07 00:00:00,244,10703,Customer payment,RECEIVE,60.8925,999,0
2018-03-07 00:00:00,244,10671,Customer payment,RECEIVE,523.601388888889,999,0
2018-03-07 00:00:00,244,10671,Customer payment,RECEIVE,198.129027777778,999,0
2018-03-07 00:00:00,244,11514,Supplier payment,SPEND,-636.436666666667,999,0
2018-03-07 00:00:00,244,10637,Customer payment,RECEIVE,1.12093055555556,999,0
2018-03-08 00:00:00,244,10706,Customer payment,RECEIVE,4.61884722222222,999,0
2018-03-08 00:00:00,244,10698,Customer payment,RECEIVE,19.3382083333333,999,0
2018-03-08 00:00:00,244,10702,Customer payment,RECEIVE,145.769208333333,999,0
2018-03-08 00:00:00,244,10663,Customer payment,RECEIVE,29071.1119125,999,0
2018-03-08 00:00:00,244,11774,Supplier payment,SPEND,-611.881944444444,999,0
2018-03-08 00:00:00,244,11011,Supplier payment,SPEND,-30.9636111111111,999,0
2018-03-08 00:00:00,244,11148,Supplier payment,SPEND,-22.1311111111111,999,0
2018-03-08 00:00:00,244,10972,Supplier payment,SPEND,-9.39722222222222,999,0
2018-03-09 00:00:00,244,11262,Supplier payment,SPEND,-55.5555555555556,999,0
2018-03-09 00:00:00,244,11713,Supplier payment,SPEND,-18.5277777777778,999,0
2018-03-09 00:00:00,244,11713,Supplier payment,SPEND,-14.9586111111111,999,0
2018-03-09 00:00:00,244,11806,Supplier payment,SPEND,-13.5972222222222,999,0
2018-03-09 00:00:00,244,10849,Supplier payment,SPEND,-1.80555555555556,999,0
2018-03-09 00:00:00,244,11632,Supplier payment,SPEND,-7.19444444444444,999,0
2018-03-09 00:00:00,244,11798,Supplier payment,SPEND,-11.9861111111111,999,0
2018-03-09 00:00:00,244,11856,Supplier payment,SPEND,-23.4027777777778,999,0
2018-03-09 00:00:00,244,11638,Supplier payment,SPEND,-6.27888888888889,999,0
2018-03-09 00:00:00,244,11842,Supplier payment,SPEND,-8.16277777777778,999,0
2018-03-09 00:00:00,244,12379,Supplier payment,SPEND,-104.7725,999,0
2018-03-12 00:00:00,244,11921,Supplier payment,SPEND,-14.4477777777778,999,0
2018-03-12 00:00:00,244,11683,Supplier payment,SPEND,-14.0961111111111,999,0
2018-03-14 00:00:00,244,11901,Supplier payment,SPEND,-65.6758333333333,999,0
2018-03-14 00:00:00,244,10537,Customer payment,RECEIVE,1040.03061111111,999,0
2018-03-13 00:00:00,244,10327,Customer payment,RECEIVE,559.251069444444,999,0
2018-03-13 00:00:00,244,10661,Customer payment,RECEIVE,722.551388888889,999,0
2018-03-13 00:00:00,244,10537,Customer payment,RECEIVE,271.996306944444,999,0
2018-03-16 00:00:00,244,10954,Supplier payment,SPEND,-25.8247222222222,999,0
2018-03-16 00:00:00,244,10592,Customer payment,RECEIVE,6.66073611111111,999,0
2018-03-16 00:00:00,244,10666,Customer payment,RECEIVE,104.986694444444,999,0
