party_id,booking_code,booking_period,invoice_number,invoice_date,due_date,closed_date,remark,currency,amount,tax_amount,company_id,ledger
12310,,2018-08,91040,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,5.2884,0,999,P
12310,,2018-08,91041,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,7832.331,0,999,P
12310,,2018-08,91042,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,145.8054,0,999,P
12310,,2018-08,91043,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,19.4454,0,999,P
12310,,2018-08,91044,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,1089.3519,0,999,P
12310,,2018-08,91045,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,48.6018,0,999,P
12310,,2018-08,91046,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,224.3592,0,999,P
12310,,2018-08,91047,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,22418.4519,0,999,P
12310,,2018-08,91048,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,4586.2011,0,999,P
12310,,2018-08,91049,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,154.5219,0,999,P
12310,,2018-08,91050,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,58.1958,0,999,P
12310,,2018-08,91051,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,9514.2996,0,999,P
12310,,2018-08,91052,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,1391.0247,0,999,P
12310,,2018-09,91053,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,22593.3552,0,999,P
12310,,2018-09,91054,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,50.2047,0,999,P
12310,,2018-09,91055,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,5.3352,0,999,P
12310,,2018-09,91056,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,7562.1078,0,999,P
12310,,2018-09,91057,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,58.6287,0,999,P
12310,,2018-09,91058,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,221.8554,0,999,P
12310,,2018-09,91059,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,1424.7207,0,999,P
12310,,2018-09,91060,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,68.5386,0,999,P
12310,,2018-09,91061,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,1155.9483,0,999,P
12310,,2018-09,91062,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,200.8422,0,999,P
12310,,2018-09,91063,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,48.9528,0,999,P
12310,,2018-09,91064,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,9.7929,0,999,P
12310,,2018-09,91065,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,4679.4384,0,999,P
12310,,2018-09,91066,2018-08-01 00:00:00,2018-08-31 00:00:00,,,EUR,8795.0304,0,999,P
